#Wave,#Intensity
847.684301537671,860
847.573909429595,849
847.463514603378,828
847.35311705947,840
847.242716798321,854
847.13231382038,850
847.021908126096,860
846.911499715919,854
846.801088590298,862
846.690674749682,854
846.580258194522,874
846.469838925266,888
846.359416942363,880
846.248992246264,884
846.138564837417,881
846.028134716273,881
845.91770188328,888
845.807266338888,905
845.696828083545,890
845.586387117703,895
845.47594344181,898
845.365497056315,910
845.255047961668,914
845.144596158318,917
845.034141646715,929
844.923684427308,941
844.813224500547,938
844.702761866881,930
844.592296526759,920
844.48182848063,947
844.371357728945,915
844.260884272152,933
844.150408110701,939
844.039929245042,955
843.929447675624,945
843.818963402895,941
843.708476427306,967
843.597986749307,958
843.487494369345,974
843.376999287872,968
843.266501505336,979
843.156001022186,986
843.045497838872,1020
842.934991955844,999
842.824483373551,988
842.713972092442,1019
842.603458112967,1020
842.492941435575,994
842.382422060715,1014
842.271899988837,1013
842.161375220391,1040
842.050847755825,1041
841.94031759559,1052
841.829784740134,1018
841.719249189906,1011
841.608710945358,1054
841.498170006937,1042
841.387626375093,1042
841.277080050276,1063
841.166531032935,1070
841.05597932352,1031
840.945424922479,1061
840.834867830262,1076
840.724308047319,1079
840.613745574099,1072
840.503180411052,1098
840.392612558626,1089
840.282042017272,1118
840.171468787438,1093
840.060892869574,1128
839.95031426413,1121
839.839732971555,1144
839.729148992299,1132
839.618562326809,1176
839.507972975537,1122
839.397380938932,1156
839.286786217443,1159
839.176188811519,1156
839.065588721609,1138
838.954985948164,1184
838.844380491633,1198
838.733772352464,1175
838.623161531108,1190
838.512548028014,1161
838.401931843631,1179
838.291312978408,1209
838.180691432796,1204
838.070067207243,1246
837.959440302199,1206
837.848810718113,1233
837.738178455435,1229
837.627543514614,1249
837.516905896099,1249
837.406265600341,1253
837.295622627787,1254
837.184976978889,1254
837.074328654094,1274
836.963677653854,1262
836.853023978616,1278
836.74236762883,1280
836.631708604946,1288
836.521046907413,1308
836.410382536681,1346
836.299715493199,1300
836.189045777417,1315
836.078373389783,1327
835.967698330747,1338
835.857020600759,1308
835.746340200268,1385
835.635657129724,1338
835.524971389575,1346
835.414282980272,1370
835.303591902263,1410
835.192898155998,1410
835.082201741928,1373
834.971502660499,1392
834.860800912163,1410
834.750096497369,1371
834.639389416566,1423
834.528679670203,1437
834.417967258731,1447
834.307252182598,1411
834.196534442253,1444
834.085814038147,1459
833.975090970728,1445
833.864365240447,1502
833.753636847751,1470
833.642905793092,1509
833.532172076918,1511
833.421435699678,1495
833.310696661822,1487
833.1999549638,1509
833.089210606061,1525
832.978463589054,1557
832.867713913228,1542
832.756961579034,1555
832.64620658692,1580
832.535448937336,1555
832.424688630732,1597
832.313925667556,1613
832.203160048258,1617
832.092391773288,1617
831.981620843095,1629
