TIME,V,I,I,pce
1.79E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.80E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.81E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.82E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.83E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.84E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.85E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.86E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.87E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.88E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.89E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.90E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.91E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.92E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.93E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.94E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.95E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.96E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.97E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.98E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
1.99E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.00E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.01E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.02E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.03E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.04E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.05E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.06E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.07E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.08E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.09E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.10E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.11E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.12E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.13E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.14E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.15E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.16E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.17E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.18E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.19E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.20E+01,8.70E-01,-1.21E-03,0.00121,18.1500 
2.21E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.22E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.23E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.24E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
2.25E+01,8.70E-01,-1.22E-03,0.00122,18.3000 
