Labels,Decay28,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,4995.117200,
Step,4.8828125,
Fixed/Offset,,
XAxis,Time,
YAxis,Counts,

2285.156300,6.60000000E+1,
2290.039100,5.90000000E+1,
2294.921900,5.20000000E+1,
2299.804700,5.30000000E+1,
2304.687500,5.10000000E+1,
2309.57000,6.00000000E+1,
2314.453100,5.50000000E+1,
2319.335900,5.50000000E+1,
2324.218800,5.20000000E+1,
2329.101600,5.00000000E+1,
2333.984400,6.10000000E+1,
2338.867200,5.10000000E+1,
2343.75000,6.20000000E+1,
2348.632800,5.10000000E+1,
2353.515600,5.50000000E+1,
2358.398400,5.60000000E+1,
2363.281300,5.50000000E+1,
2368.164100,5.10000000E+1,
2373.046900,4.80000000E+1,
2377.93000,5.90000000E+1,
2382.812500,5.10000000E+1,
2387.695300,6.40000000E+1,
2392.578100,3.10000000E+1,
2397.460900,4.20000000E+1,
2402.343800,6.90000000E+1,
2407.226600,5.60000000E+1,
2412.109400,6.20000000E+1,
2416.992200,5.00000000E+1,
2421.875000,4.50000000E+1,
2426.757800,4.80000000E+1,
2431.640600,5.70000000E+1,
2436.523400,4.50000000E+1,
2441.406300,4.40000000E+1,
2446.289100,5.20000000E+1,
2451.171900,4.00000000E+1,
2456.054700,6.10000000E+1,
2460.937500,3.50000000E+1,
2465.82000,4.10000000E+1,
2470.703100,4.50000000E+1,
2475.585900,4.70000000E+1,
2480.468800,4.80000000E+1,
2485.351600,4.30000000E+1,
2490.234400,4.50000000E+1,
2495.117200,5.60000000E+1,
2500.00,6.20000000E+1,
2504.882800,5.50000000E+1,
2509.765600,5.60000000E+1,
2514.648400,4.40000000E+1,
2519.531300,4.60000000E+1,
2524.414100,5.80000000E+1,
2529.296900,4.20000000E+1,
2534.18000,5.30000000E+1,
2539.062500,6.40000000E+1,
2543.945300,5.40000000E+1,
2548.828100,4.00000000E+1,
2553.710900,5.60000000E+1,
2558.593800,4.90000000E+1,
2563.476600,3.60000000E+1,
2568.359400,4.70000000E+1,
2573.242200,4.00000000E+1,
2578.125000,4.10000000E+1,
2583.007800,4.10000000E+1,
2587.890600,4.80000000E+1,
2592.773400,4.60000000E+1,
2597.656300,4.00000000E+1,
2602.539100,4.00000000E+1,
2607.421900,4.80000000E+1,
2612.304700,4.20000000E+1,
2617.187500,5.80000000E+1,
2622.07000,3.40000000E+1,
2626.953100,5.60000000E+1,
2631.835900,4.80000000E+1,
2636.718800,3.90000000E+1,
2641.601600,5.60000000E+1,
2646.484400,4.00000000E+1,
2651.367200,5.60000000E+1,
2656.25000,4.60000000E+1,
2661.132800,4.70000000E+1,
2666.015600,5.10000000E+1,
2670.898400,4.90000000E+1,
2675.781300,3.30000000E+1,
2680.664100,5.10000000E+1,
2685.546900,3.50000000E+1,
2690.43000,3.80000000E+1,
2695.312500,4.20000000E+1,
2700.195300,4.60000000E+1,
2705.078100,4.20000000E+1,
2709.960900,5.30000000E+1,
2714.843800,4.10000000E+1,
2719.726600,5.00000000E+1,
2724.609400,4.30000000E+1,
2729.492200,4.80000000E+1,
2734.375000,4.20000000E+1,
2739.257800,5.80000000E+1,
2744.140600,4.40000000E+1,
2749.023400,4.10000000E+1,
2753.906300,5.00000000E+1,
2758.789100,5.40000000E+1,
2763.671900,4.30000000E+1,
2768.554700,3.90000000E+1,
2773.437500,5.00000000E+1,
2778.32000,5.70000000E+1,
2783.203100,5.20000000E+1,
2788.085900,3.90000000E+1,
2792.968800,4.10000000E+1,
2797.851600,4.60000000E+1,
2802.734400,3.00000000E+1,
2807.617200,5.00000000E+1,
2812.5000,3.50000000E+1,
2817.382800,3.30000000E+1,
2822.265600,3.90000000E+1,
2827.148400,2.90000000E+1,
2832.031300,3.60000000E+1,
2836.914100,3.70000000E+1,
2841.796900,5.00000000E+1,
2846.68000,4.30000000E+1,
2851.562500,5.00000000E+1,
2856.445300,4.50000000E+1,
2861.328100,4.70000000E+1,
2866.210900,5.30000000E+1,
2871.093800,4.00000000E+1,
2875.976600,4.60000000E+1,
2880.859400,3.90000000E+1,
2885.742200,2.90000000E+1,
2890.625000,5.60000000E+1,
2895.507800,4.40000000E+1,
2900.390600,4.10000000E+1,
2905.273400,3.80000000E+1,
2910.156300,4.30000000E+1,
2915.039100,3.80000000E+1,
2919.921900,3.80000000E+1,
2924.804700,4.40000000E+1,
2929.687500,5.40000000E+1,
2934.57000,3.30000000E+1,
2939.453100,3.10000000E+1,
2944.335900,3.90000000E+1,
2949.218800,3.50000000E+1,
2954.101600,3.50000000E+1,
2958.984400,4.20000000E+1,
2963.867200,4.90000000E+1,
2968.75000,4.60000000E+1,
2973.632800,4.00000000E+1,
2978.515600,3.10000000E+1,
2983.398400,4.60000000E+1,
2988.281300,3.20000000E+1,
2993.164100,4.10000000E+1,
2998.046900,2.80000000E+1,
3002.93000,3.40000000E+1,
3007.812500,4.20000000E+1,
3012.695300,3.50000000E+1,
3017.578100,3.20000000E+1,
3022.460900,3.40000000E+1,
3027.343800,3.10000000E+1,
3032.226600,3.80000000E+1,
3037.109400,3.90000000E+1,
3041.992200,3.40000000E+1,
3046.875000,3.50000000E+1,
3051.757800,3.40000000E+1,
3056.640600,3.30000000E+1,
3061.523400,3.50000000E+1,
3066.406300,3.80000000E+1,
3071.289100,3.00000000E+1,
3076.171900,4.80000000E+1,
3081.054700,4.70000000E+1,
3085.937500,4.20000000E+1,
3090.82000,4.20000000E+1,
3095.703100,3.30000000E+1,
3100.585900,3.80000000E+1,
3105.468800,4.20000000E+1,
3110.351600,4.30000000E+1,
3115.234400,3.10000000E+1,
3120.117200,4.50000000E+1,
3125.000,3.40000000E+1,
3129.882800,3.80000000E+1,
3134.765600,3.30000000E+1,
3139.648400,3.00000000E+1,
3144.531300,4.40000000E+1,
3149.414100,2.70000000E+1,
3154.296900,2.90000000E+1,
3159.18000,4.30000000E+1,
3164.062500,2.70000000E+1,
3168.945300,4.10000000E+1,
3173.828100,3.00000000E+1,
3178.710900,3.80000000E+1,
3183.593800,3.60000000E+1,
3188.476600,4.10000000E+1,
