Time(min),Time(h),Normalized PCE
592,9.86667,0.63464
593,9.88333,0.64093
594,9.9,0.63608
595,9.91667,0.63454
596,9.93333,0.63741
597,9.95,0.63663
598,9.96667,0.63916
599,9.98333,0.6366
600,10,0.63301
601,10.01667,0.63608
602,10.03333,0.63778
603,10.05,0.63389
604,10.06667,0.63663
605,10.08333,0.63818
606,10.1,0.63301
607,10.11667,0.63489
608,10.13333,0.63974
609,10.15,0.63352
610,10.16667,0.63582
611,10.18333,0.63454
612,10.2,0.63389
613,10.21667,0.63161
614,10.23333,0.63839
615,10.25,0.63454
616,10.26667,0.63586
617,10.28333,0.63572
618,10.3,0.63586
619,10.31667,0.63586
620,10.33333,0.63147
621,10.35,0.63508
622,10.36667,0.63454
623,10.38333,0.63568
624,10.4,0.63224
625,10.41667,0.63224
626,10.43333,0.63508
627,10.45,0.63161
628,10.46667,0.63582
629,10.48333,0.63378
630,10.5,0.63586
631,10.51667,0.63582
632,10.53333,0.63454
633,10.55,0.62856
634,10.56667,0.63608
635,10.58333,0.63275
636,10.6,0.63427
637,10.61667,0.63352
638,10.63333,0.63412
639,10.65,0.63301
640,10.66667,0.63197
641,10.68333,0.63224
642,10.7,0.63508
643,10.71667,0.63071
644,10.73333,0.63224
645,10.75,0.6343
646,10.76667,0.63464
647,10.78333,0.63275
648,10.8,0.63071
649,10.81667,0.63224
650,10.83333,0.63271
651,10.85,0.62994
652,10.86667,0.63586
653,10.88333,0.63349
654,10.9,0.63301
655,10.91667,0.63224
656,10.93333,0.63621
657,10.95,0.63042
658,10.96667,0.63193
659,10.98333,0.63741
660,11,0.63193
661,11.01667,0.6284
662,11.03333,0.63172
663,11.05,0.6312
664,11.06667,0.63378
665,11.08333,0.63543
666,11.1,0.63271
667,11.11667,0.6312
668,11.13333,0.63083
669,11.15,0.63084
670,11.16667,0.62917
671,11.18333,0.63275
672,11.2,0.62917
673,11.21667,0.62964
674,11.23333,0.63307
675,11.25,0.62557
676,11.26667,0.6315
677,11.28333,0.63071
678,11.3,0.63224
679,11.31667,0.63071
680,11.33333,0.63427
681,11.35,0.62553
682,11.36667,0.62917
683,11.38333,0.6333
684,11.4,0.62887
685,11.41667,0.63147
686,11.43333,0.62763
687,11.45,0.63229
688,11.46667,0.62994
689,11.48333,0.63271
690,11.5,0.63275
691,11.51667,0.62932
692,11.53333,0.63013
693,11.55,0.62993
694,11.56667,0.62917
695,11.58333,0.6296
696,11.6,0.62704
697,11.61667,0.6312
698,11.63333,0.62758
699,11.65,0.6284
700,11.66667,0.63621
701,11.68333,0.6315
702,11.7,0.62782
703,11.71667,0.62628
704,11.73333,0.63116
705,11.75,0.63072
706,11.76667,0.62809
707,11.78333,0.62687
708,11.8,0.62332
709,11.81667,0.63275
710,11.83333,0.6284
711,11.85,0.6261
712,11.86667,0.62407
713,11.88333,0.62628
714,11.9,0.62856
715,11.91667,0.62654
716,11.93333,0.63072
717,11.95,0.62654
718,11.96667,0.62758
719,11.98333,0.62181
720,12,0.62915
721,12.01667,0.62836
722,12.03333,0.62809
723,12.05,0.62775
724,12.06667,0.62687
725,12.08333,0.62456
726,12.1,0.62994
727,12.11667,0.62964
728,12.13333,0.62993
729,12.15,0.62654
730,12.16667,0.6261
731,12.18333,0.6261
732,12.2,0.62324
733,12.21667,0.6261
734,12.23333,0.62809
735,12.25,0.62456
736,12.26667,0.62809
737,12.28333,0.62476
738,12.3,0.62498
739,12.31667,0.6261
740,12.33333,0.62378
741,12.35,0.62654
742,12.36667,0.62172
743,12.38333,0.62343
744,12.4,0.62836
745,12.41667,0.62576
746,12.43333,0.6261
747,12.45,0.6261
748,12.46667,0.62379
749,12.48333,0.62226
750,12.5,0.62476
751,12.51667,0.62343
752,12.53333,0.62248
753,12.55,0.62522
754,12.56667,0.62379
755,12.58333,0.62324
756,12.6,0.62172
757,12.61667,0.62649
758,12.63333,0.62324
759,12.65,0.62576
760,12.66667,0.62494
761,12.68333,0.62763
762,12.7,0.61806
763,12.71667,0.62226
764,12.73333,0.62031
765,12.75,0.62343
766,12.76667,0.62226
767,12.78333,0.61956
768,12.8,0.62172
769,12.81667,0.62572
770,12.83333,0.62302
771,12.85,0.62456
772,12.86667,0.62172
773,12.88333,0.62379
774,12.9,0.62302
775,12.91667,0.62188
776,12.93333,0.62618
777,12.95,0.626
778,12.96667,0.6261
779,12.98333,0.62302
780,13,0.62248
781,13.01667,0.62494
782,13.03333,0.62456
783,13.05,0.62226
784,13.06667,0.62498
785,13.08333,0.62343
786,13.1,0.626
787,13.11667,0.62208
788,13.13333,0.62379
789,13.15,0.62096
790,13.16667,0.62226
791,13.18333,0.6202
792,13.2,0.62208
793,13.21667,0.62695
794,13.23333,0.61945
795,13.25,0.6211
796,13.26667,0.62416
797,13.28333,0.62129
798,13.3,0.62226
799,13.31667,0.61841
800,13.33333,0.62072
801,13.35,0.62732
802,13.36667,0.6211
803,13.38333,0.61945
804,13.4,0.62226
805,13.41667,0.62226
806,13.43333,0.62343
807,13.45,0.62286
808,13.46667,0.61878
809,13.48333,0.61841
810,13.5,0.62286
811,13.51667,0.62226
812,13.53333,0.62072
813,13.55,0.62072
814,13.56667,0.61945
815,13.58333,0.61995
816,13.6,0.62149
817,13.61667,0.61815
818,13.63333,0.61764
819,13.65,0.61581
820,13.66667,0.61893
821,13.68333,0.61764
822,13.7,0.6164
823,13.71667,0.61764
824,13.73333,0.61688
825,13.75,0.61878
826,13.76667,0.62149
827,13.78333,0.61868
828,13.8,0.6164
829,13.81667,0.61688
830,13.83333,0.61581
831,13.85,0.61955
832,13.86667,0.61764
833,13.88333,0.61564
834,13.9,0.61716
835,13.91667,0.61567
836,13.93333,0.61841
837,13.95,0.61688
838,13.96667,0.61716
839,13.98333,0.61918
840,14,0.62188
841,14.01667,0.61995
842,14.03333,0.61564
843,14.05,0.61918
844,14.06667,0.62183
845,14.08333,0.61955
846,14.1,0.61841
847,14.11667,0.61688
848,14.13333,0.61611
849,14.15,0.61489
850,14.16667,0.61822
851,14.18333,0.61722
852,14.2,0.61792
853,14.21667,0.61488
854,14.23333,0.61722
855,14.25,0.61841
856,14.26667,0.61878
857,14.28333,0.61955
858,14.3,0.61534
859,14.31667,0.61764
860,14.33333,0.6138
861,14.35,0.61488
862,14.36667,0.6164
863,14.38333,0.61611
864,14.4,0.61488
865,14.41667,0.61304
866,14.43333,0.61972
867,14.45,0.61336
868,14.46667,0.61561
869,14.48333,0.6138
870,14.5,0.61764
871,14.51667,0.61488
872,14.53333,0.61534
873,14.55,0.61205
874,14.56667,0.61412
875,14.58333,0.61688
876,14.6,0.61611
877,14.61667,0.61204
878,14.63333,0.61644
879,14.65,0.61611
880,14.66667,0.61822
881,14.68333,0.61272
882,14.7,0.61614
883,14.71667,0.61489
884,14.73333,0.61579
885,14.75,0.61032
886,14.76667,0.61046
887,14.78333,0.61184
888,14.8,0.6132
889,14.81667,0.61247
890,14.83333,0.61171
891,14.85,0.6126
892,14.86667,0.61473
893,14.88333,0.61434
894,14.9,0.61247
895,14.91667,0.6126
896,14.93333,0.60956
897,14.95,0.61588
898,14.96667,0.6138
899,14.98333,0.61032
900,15,0.61611
901,15.01667,0.60942
902,15.03333,0.61179
903,15.05,0.60946
904,15.06667,0.6138
905,15.08333,0.61244
906,15.1,0.60668
907,15.11667,0.61279
908,15.13333,0.6097
909,15.15,0.61073
910,15.16667,0.60989
911,15.18333,0.61145
912,15.2,0.60865
913,15.21667,0.60744
914,15.23333,0.60865
915,15.25,0.60938
916,15.26667,0.60789
917,15.28333,0.60816
918,15.3,0.61047
919,15.31667,0.6097
920,15.33333,0.60738
921,15.35,0.60632
922,15.36667,0.61302
923,15.38333,0.60484
924,15.4,0.60816
925,15.41667,0.60583
926,15.43333,0.60738
927,15.45,0.6097
928,15.46667,0.60911
929,15.48333,0.60789
930,15.5,0.60215
931,15.51667,0.60668
932,15.53333,0.60785
933,15.55,0.60461
934,15.56667,0.60785
935,15.58333,0.60517
936,15.6,0.60407
937,15.61667,0.60583
938,15.63333,0.60636
939,15.65,0.60599
940,15.66667,0.60254
941,15.68333,0.60479
942,15.7,0.60599
943,15.71667,0.60366
944,15.73333,0.60429
945,15.75,0.60215
946,15.76667,0.60331
947,15.78333,0.6025
948,15.8,0.60326
949,15.81667,0.60833
950,15.83333,0.60506
951,15.85,0.60366
952,15.86667,0.60484
953,15.88333,0.60479
954,15.9,0.60254
955,15.91667,0.60139
956,15.93333,0.60517
957,15.95,0.59988
958,15.96667,0.60632
959,15.98333,0.60178
960,16,0.60583
961,16.01667,0.60215
962,16.03333,0.60352
963,16.05,0.60677
964,16.06667,0.59913
965,16.08333,0.59714
966,16.1,0.60197
967,16.11667,0.60197
968,16.13333,0.60139
969,16.15,0.60254
970,16.16667,0.6002
971,16.18333,0.59913
972,16.2,0.60074
973,16.21667,0.60173
974,16.23333,0.60208
975,16.25,0.59938
976,16.26667,0.60025
977,16.28333,0.59837
978,16.3,0.60102
979,16.31667,0.60043
980,16.33333,0.59837
981,16.35,0.60025
982,16.36667,0.60025
983,16.38333,0.5934
984,16.4,0.59714
985,16.41667,0.60429
986,16.43333,0.59639
987,16.45,0.59913
988,16.46667,0.59873
989,16.48333,0.60043
990,16.5,0.60064
991,16.51667,0.60326
992,16.53333,0.59611
993,16.55,0.5974
994,16.56667,0.60097
995,16.58333,0.59535
996,16.6,0.59686
997,16.61667,0.59662
998,16.63333,0.59489
999,16.65,0.59723
1000,16.66667,0.59761
1001,16.68333,0.59791
1002,16.7,0.59415
1003,16.71667,0.59714
1004,16.73333,0.59478
1005,16.75,0.59686
1006,16.76667,0.5974
1007,16.78333,0.59686
1008,16.8,0.59643
1009,16.81667,0.59191
1010,16.83333,0.59703
1011,16.85,0.59791
1012,16.86667,0.59459
1013,16.88333,0.59564
1014,16.9,0.59191
1015,16.91667,0.59888
1016,16.93333,0.59063
1017,16.95,0.59611
1018,16.96667,0.5946
1019,16.98333,0.59811
1020,17,0.59157
1021,17.01667,0.59502
1022,17.03333,0.59485
1023,17.05,0.59384
1024,17.06667,0.59561
1025,17.08333,0.59818
1026,17.1,0.59567
1027,17.11667,0.59233
1028,17.13333,0.59208
1029,17.15,0.59306
1030,17.16667,0.5936
1031,17.18333,0.5946
1032,17.2,0.59383
1033,17.21667,0.59474
1034,17.23333,0.59656
1035,17.25,0.59425
1036,17.26667,0.59618
1037,17.28333,0.59459
1038,17.3,0.59157
1039,17.31667,0.59109
1040,17.33333,0.58626
1041,17.35,0.59537
1042,17.36667,0.59502
1043,17.38333,0.59567
1044,17.4,0.59132
1045,17.41667,0.59098
1046,17.43333,0.59734
1047,17.45,0.59233
1048,17.46667,0.5936
1049,17.48333,0.59308
1050,17.5,0.59082
1051,17.51667,0.59041
1052,17.53333,0.59414
1053,17.55,0.59308
1054,17.56667,0.59408
1055,17.58333,0.59308
1056,17.6,0.59115
1057,17.61667,0.59006
1058,17.63333,0.59265
1059,17.65,0.58817
1060,17.66667,0.58855
1061,17.68333,0.58952
1062,17.7,0.59103
1063,17.71667,0.5895
1064,17.73333,0.59332
1065,17.75,0.59103
1066,17.76667,0.59115
1067,17.78333,0.58797
1068,17.8,0.58961
1069,17.81667,0.58961
1070,17.83333,0.58884
1071,17.85,0.58775
1072,17.86667,0.58704
1073,17.88333,0.58568
1074,17.9,0.58797
1075,17.91667,0.58881
1076,17.93333,0.58401
1077,17.95,0.58415
1078,17.96667,0.5872
1079,17.98333,0.58477
1080,18,0.58338
1081,18.01667,0.58343
1082,18.03333,0.58644
1083,18.05,0.58262
1084,18.06667,0.58497
1085,18.08333,0.58401
1086,18.1,0.58491
1087,18.11667,0.5842
1088,18.13333,0.58185
1089,18.15,0.58271
1090,18.16667,0.58154
1091,18.18333,0.58385
1092,18.2,0.58652
1093,18.21667,0.58068
1094,18.23333,0.58018
1095,18.25,0.58109
1096,18.26667,0.57771
1097,18.28333,0.58099
1098,18.3,0.57879
1099,18.31667,0.58109
1100,18.33333,0.58265
1101,18.35,0.58099
1102,18.36667,0.58185
1103,18.38333,0.57956
1104,18.4,0.57722
1105,18.41667,0.58032
1106,18.43333,0.57873
1107,18.45,0.58412
1108,18.46667,0.58099
1109,18.48333,0.5757
1110,18.5,0.57948
1111,18.51667,0.5742
1112,18.53333,0.5745
1113,18.55,0.57992
1114,18.56667,0.57643
1115,18.58333,0.57764
1116,18.6,0.57546
1117,18.61667,0.58
1118,18.63333,0.58185
1119,18.65,0.57764
1120,18.66667,0.5777
1121,18.68333,0.58188
1122,18.7,0.57797
1123,18.71667,0.5752
1124,18.73333,0.57416
1125,18.75,0.57966
1126,18.76667,0.57621
1127,18.78333,0.57564
1128,18.8,0.58034
1129,18.81667,0.5757
1130,18.83333,0.57915
1131,18.85,0.57472
1132,18.86667,0.57722
1133,18.88333,0.57647
1134,18.9,0.57488
1135,18.91667,0.58178
1136,18.93333,0.57573
1137,18.95,0.5742
1138,18.96667,0.57956
1139,18.98333,0.57764
1140,19,0.57564
1141,19.01667,0.5765
1142,19.03333,0.57803
1143,19.05,0.57123
1144,19.06667,0.57838
1145,19.08333,0.5752
1146,19.1,0.57445
1147,19.11667,0.57612
1148,19.13333,0.57536
1149,19.15,0.57693
1150,19.16667,0.5767
1151,19.18333,0.57118
1152,19.2,0.56863
1153,19.21667,0.5723
1154,19.23333,0.569
1155,19.25,0.57612
1156,19.26667,0.57118
1157,19.28333,0.57986
1158,19.3,0.57616
1159,19.31667,0.57688
1160,19.33333,0.57607
1161,19.35,0.5746
1162,19.36667,0.57193
1163,19.38333,0.57445
1164,19.4,0.57838
1165,19.41667,0.57416
1166,19.43333,0.57908
1167,19.45,0.57271
1168,19.46667,0.57308
1169,19.48333,0.57809
1170,19.5,0.57294
1171,19.51667,0.57048
1172,19.53333,0.57193
1173,19.55,0.57186
1174,19.56667,0.57542
1175,19.58333,0.56949
1176,19.6,0.5765
1177,19.61667,0.57147
1178,19.63333,0.57725
1179,19.65,0.56724
1180,19.66667,0.57184
1181,19.68333,0.57344
1182,19.7,0.57261
1183,19.71667,0.57042
