Time(min),Time(h),Normalized PCE,,,
682,11.36667,0.63296,,,
683,11.38333,0.62949,,,
684,11.4,0.63334,,,
685,11.41667,0.62883,,,
686,11.43333,0.62883,,,
687,11.45,0.62782,,,
688,11.46667,0.63281,,,
689,11.48333,0.62949,,,
690,11.5,0.62949,,,
691,11.51667,0.63048,,,
692,11.53333,0.62863,,,
693,11.55,0.6272,,,
694,11.56667,0.62866,,,
695,11.58333,0.62615,,,
696,11.6,0.62553,,,
697,11.61667,0.62612,,,
698,11.63333,0.62532,,,
699,11.65,0.62612,,,
700,11.66667,0.62612,,,
701,11.68333,0.62782,,,
702,11.7,0.62387,,,
703,11.71667,0.62444,,,
704,11.73333,0.62448,,,
705,11.75,0.62149,,,
706,11.76667,0.62277,,,
707,11.78333,0.62387,,,
708,11.8,0.62149,,,
709,11.81667,0.62197,,,
710,11.83333,0.62281,,,
711,11.85,0.62403,,,
712,11.86667,0.61974,,,
713,11.88333,0.61891,,,
714,11.9,0.61726,,,
715,11.91667,0.61985,,,
716,11.93333,0.62114,,,
717,11.95,0.61809,,,
718,11.96667,0.61779,,,
719,11.98333,0.61809,,,
720,12,0.61891,,,
721,12.01667,0.61658,,,
722,12.03333,0.62026,,,
723,12.05,0.61612,,,
724,12.06667,0.61691,,,
725,12.08333,0.61444,,,
726,12.1,0.61528,,,
727,12.11667,0.61809,,,
728,12.13333,0.61725,,,
729,12.15,0.61809,,,
730,12.16667,0.61495,,,
731,12.18333,0.61251,,,
732,12.2,0.61361,,,
733,12.21667,0.61251,,,
734,12.23333,0.6125,,,
735,12.25,0.61607,,,
736,12.26667,0.6123,,,
737,12.28333,0.6123,,,
738,12.3,0.61313,,,
739,12.31667,0.6123,,,
740,12.33333,0.60983,,,
741,12.35,0.60983,,,
742,12.36667,0.60848,,,
743,12.38333,0.61005,,,
744,12.4,0.61087,,,
745,12.41667,0.609,,,
746,12.43333,0.60938,,,
747,12.45,0.60938,,,
748,12.46667,0.61148,,,
749,12.48333,0.60817,,,
750,12.5,0.61021,,,
751,12.51667,0.60963,,,
752,12.53333,0.60652,,,
753,12.55,0.60652,,,
754,12.56667,0.60441,,,
755,12.58333,0.60794,,,
756,12.6,0.60652,,,
757,12.61667,0.60686,,,
758,12.63333,0.60548,,,
759,12.65,0.60404,,,
760,12.66667,0.60817,,,
761,12.68333,0.60404,,,
762,12.7,0.60525,,,
763,12.71667,0.60441,,,
764,12.73333,0.60354,,,
765,12.75,0.60487,,,
766,12.76667,0.60239,,,
767,12.78333,0.60569,,,
768,12.8,0.60404,,,
769,12.81667,0.60286,,,
770,12.83333,0.60156,,,
771,12.85,0.60023,,,
772,12.86667,0.60352,,,
773,12.88333,0.60074,,,
774,12.9,0.60074,,,
775,12.91667,0.59991,,,
776,12.93333,0.60107,,,
777,12.95,0.60239,,,
778,12.96667,0.59773,,,
779,12.98333,0.59826,,,
780,13,0.59743,,,
781,13.01667,0.60032,,,
782,13.03333,0.59861,,,
783,13.05,0.59689,,,
784,13.06667,0.598,,,
785,13.08333,0.59943,,,
786,13.1,0.59743,,,
787,13.11667,0.59522,,,
788,13.13333,0.59559,,,
789,13.15,0.5966,,,
790,13.16667,0.59495,,,
791,13.18333,0.59617,,,
792,13.2,0.59495,,,
793,13.21667,0.59559,,,
794,13.23333,0.59743,,,
795,13.25,0.5929,,,
796,13.26667,0.59247,,,
797,13.28333,0.59247,,,
798,13.3,0.59535,,,
799,13.31667,0.59578,,,
800,13.33333,0.58914,,,
801,13.35,0.5929,,,
802,13.36667,0.59126,,,
803,13.38333,0.58937,,,
804,13.4,0.59045,,,
805,13.41667,0.58999,,,
806,13.43333,0.59049,,,
807,13.45,0.59163,,,
808,13.46667,0.58917,,,
809,13.48333,0.58723,,,
810,13.5,0.58723,,,
811,13.51667,0.588,,,
812,13.53333,0.588,,,
813,13.55,0.58669,,,
814,13.56667,0.58882,,,
815,13.58333,0.58752,,,
816,13.6,0.58591,,,
817,13.61667,0.588,,,
818,13.63333,0.58503,,,
819,13.65,0.58503,,,
820,13.66667,0.58519,,,
821,13.68333,0.58586,,,
822,13.7,0.58555,,,
823,13.71667,0.58338,,,
824,13.73333,0.58421,,,
825,13.75,0.58421,,,
826,13.76667,0.5831,,,
827,13.78333,0.58473,,,
828,13.8,0.58108,,,
829,13.81667,0.58184,,,
830,13.83333,0.58188,,,
831,13.85,0.58228,,,
832,13.86667,0.57946,,,
833,13.88333,0.57925,,,
834,13.9,0.57988,,,
835,13.91667,0.58188,,,
836,13.93333,0.57866,,,
837,13.95,0.5831,,,
838,13.96667,0.57785,,,
839,13.98333,0.57943,,,
840,14,0.57785,,,
841,14.01667,0.57901,,,
842,14.03333,0.57901,,,
843,14.05,0.5776,,,
844,14.06667,0.57575,,,
845,14.08333,0.57925,,,
846,14.1,0.57575,,,
847,14.11667,0.57983,,,
848,14.13333,0.57624,,,
849,14.15,0.57463,,,
850,14.16667,0.57432,,,
851,14.18333,0.57493,,,
852,14.2,0.57383,,,
853,14.21667,0.57575,,,
854,14.23333,0.57493,,,
855,14.25,0.57512,,,
856,14.26667,0.57302,,,
857,14.28333,0.57221,,,
858,14.3,0.57491,,,
859,14.31667,0.57166,,,
860,14.33333,0.57003,,,
861,14.35,0.57172,,,
862,14.36667,0.56933,,,
863,14.38333,0.57085,,,
864,14.4,0.57013,,,
865,14.41667,0.56899,,,
866,14.43333,0.57085,,,
867,14.45,0.57092,,,
868,14.46667,0.5706,,,
869,14.48333,0.56854,,,
870,14.5,0.56738,,,
871,14.51667,0.57136,,,
872,14.53333,0.56921,,,
873,14.55,0.57013,,,
874,14.56667,0.56894,,,
875,14.58333,0.56979,,,
876,14.6,0.56603,,,
877,14.61667,0.56677,,,
878,14.63333,0.56496,,,
879,14.65,0.56758,,,
880,14.66667,0.56595,,,
881,14.68333,0.56415,,,
882,14.7,0.56646,,,
883,14.71667,0.5671,,,
884,14.73333,0.56513,,,
885,14.75,0.56335,,,
886,14.76667,0.56513,,,
887,14.78333,0.56304,,,
888,14.8,0.56164,,,
889,14.81667,0.56275,,,
890,14.83333,0.562,,,
891,14.85,0.56195,,,
892,14.86667,0.56186,,,
893,14.88333,0.5596,,,
894,14.9,0.56061,,,
895,14.91667,0.56153,,,
896,14.93333,0.55819,,,
897,14.95,0.55898,,,
898,14.96667,0.55874,,,
899,14.98333,0.55739,,,
900,15,0.55942,,,
901,15.01667,0.56023,,,
902,15.03333,0.55794,,,
903,15.05,0.55932,,,
904,15.06667,0.5569,,,
905,15.08333,0.56035,,,
906,15.1,0.55714,,,
907,15.11667,0.55661,,,
908,15.13333,0.55634,,,
909,15.15,0.55579,,,
910,15.16667,0.55529,,,
911,15.18333,0.55574,,,
912,15.2,0.55497,,,
913,15.21667,0.55493,,,
914,15.23333,0.55414,,,
915,15.25,0.55364,,,
916,15.26667,0.55313,,,
917,15.28333,0.55079,,,
918,15.3,0.55285,,,
919,15.31667,0.55073,,,
920,15.33333,0.55338,,,
921,15.35,0.55168,,,
922,15.36667,0.54999,,,
923,15.38333,0.54889,,,
924,15.4,0.55153,,,
925,15.41667,0.55086,,,
926,15.43333,0.55004,,,
927,15.45,0.54889,,,
928,15.46667,0.55073,,,
929,15.48333,0.55004,,,
930,15.5,0.54974,,,
931,15.51667,0.54889,,,
932,15.53333,0.55006,,,
933,15.55,0.54844,,,
934,15.56667,0.54752,,,
935,15.58333,0.54844,,,
936,15.6,0.546,,,
937,15.61667,0.54763,,,
938,15.63333,0.54573,,,
939,15.65,0.54844,,,
940,15.66667,0.54511,,,
941,15.68333,0.54438,,,
942,15.7,0.54494,,,
943,15.71667,0.54357,,,
944,15.73333,0.54359,,,
945,15.75,0.54438,,,
946,15.76667,0.54414,,,
947,15.78333,0.54191,,,
948,15.8,0.54351,,,
949,15.81667,0.54271,,,
950,15.83333,0.54183,,,
951,15.85,0.54098,,,
952,15.86667,0.54276,,,
