Time(min),Time(h),Normalized PCE
985,16.41667,0.51836
986,16.43333,0.51836
987,16.45,0.51593
988,16.46667,0.51962
989,16.48333,0.5158
990,16.5,0.51703
991,16.51667,0.51553
992,16.53333,0.51674
993,16.55,0.51593
994,16.56667,0.51674
995,16.58333,0.51674
996,16.6,0.51836
997,16.61667,0.51674
998,16.63333,0.51462
999,16.65,0.51513
1000,16.66667,0.51674
1001,16.68333,0.51593
1002,16.7,0.51462
1003,16.71667,0.51422
1004,16.73333,0.51471
1005,16.75,0.51756
1006,16.76667,0.51462
1007,16.78333,0.51471
1008,16.8,0.51703
1009,16.81667,0.51701
1010,16.83333,0.51404
1011,16.85,0.51432
1012,16.86667,0.51324
1013,16.88333,0.51459
1014,16.9,0.51298
1015,16.91667,0.51543
1016,16.93333,0.51516
1017,16.95,0.51319
1018,16.96667,0.51382
1019,16.98333,0.51462
1020,17,0.51513
1021,17.01667,0.51389
1022,17.03333,0.5135
1023,17.05,0.51189
1024,17.06667,0.5127
1025,17.08333,0.51432
1026,17.1,0.51222
1027,17.11667,0.51222
1028,17.13333,0.51062
1029,17.15,0.51462
1030,17.16667,0.51062
1031,17.18333,0.5135
1032,17.2,0.51025
1033,17.21667,0.51513
1034,17.23333,0.51057
1035,17.25,0.51107
1036,17.26667,0.51432
1037,17.28333,0.50982
1038,17.3,0.50801
1039,17.31667,0.51307
1040,17.33333,0.50982
1041,17.35,0.51022
1042,17.36667,0.51107
1043,17.38333,0.5127
1044,17.4,0.51143
1045,17.41667,0.50901
1046,17.43333,0.51025
1047,17.45,0.51107
1048,17.46667,0.50979
1049,17.48333,0.51143
1050,17.5,0.50788
1051,17.51667,0.50901
1052,17.53333,0.50708
1053,17.55,0.50788
1054,17.56667,0.50821
1055,17.58333,0.50946
1056,17.6,0.51062
1057,17.61667,0.51025
1058,17.63333,0.50821
1059,17.65,0.51062
1060,17.66667,0.50946
1061,17.68333,0.50661
1062,17.7,0.50821
1063,17.71667,0.50821
1064,17.73333,0.50629
1065,17.75,0.50793
1066,17.76667,0.50629
1067,17.78333,0.50741
1068,17.8,0.50741
1069,17.81667,0.50703
1070,17.83333,0.50901
1071,17.85,0.50784
1072,17.86667,0.50741
1073,17.88333,0.50622
1074,17.9,0.50864
1075,17.91667,0.50586
1076,17.93333,0.50527
1077,17.95,0.50609
1078,17.96667,0.505
1079,17.98333,0.5055
1080,18,0.505
1081,18.01667,0.50493
1082,18.03333,0.50379
1083,18.05,0.5047
1084,18.06667,0.50528
1085,18.08333,0.5047
1086,18.1,0.50611
1087,18.11667,0.50362
1088,18.13333,0.50493
1089,18.15,0.50379
1090,18.16667,0.50379
1091,18.18333,0.50332
1092,18.2,0.50325
1093,18.21667,0.50208
1094,18.23333,0.50233
1095,18.25,0.50412
1096,18.26667,0.50447
1097,18.28333,0.50527
1098,18.3,0.50571
1099,18.31667,0.50581
1100,18.33333,0.50217
1101,18.35,0.50371
1102,18.36667,0.50297
1103,18.38333,0.50171
1104,18.4,0.50365
1105,18.41667,0.5042
1106,18.43333,0.50251
1107,18.45,0.5045
1108,18.46667,0.50217
1109,18.48333,0.50297
1110,18.5,0.50297
1111,18.51667,0.50325
1112,18.53333,0.50162
1113,18.55,0.5026
1114,18.56667,0.50129
1115,18.58333,0.5009
1116,18.6,0.50217
1117,18.61667,0.50068
1118,18.63333,0.50233
1119,18.65,0.501
1120,18.66667,0.50243
